country,clim,urt,value
MEX,Zone_1B Very hot Dry,urb,0.0323678921500617
MEX,Zone_1B Very hot Dry,rur,0.077829072782682
MEX,Zone_2A Hot Humid,urb,0.134313920763072
MEX,Zone_2A Hot Humid,rur,0.136865514414537
MEX,Zone_2B Hot Dry,urb,0.0736418217267357
MEX,Zone_2B Hot Dry,rur,0.10995651448863
MEX,Zone_3A Warm Humid,urb,0.057497595607547
MEX,Zone_3A Warm Humid,rur,0.0583907174816201
MEX,Zone_3B Warm Dry,urb,0.064822967934291
MEX,Zone_3B Warm Dry,rur,0.10187827902951
MEX,Zone_3C Warm Marine,urb,0.490387436905073
MEX,Zone_3C Warm Marine,rur,0.192301966002058
MKD,Zone_5A Cool Humid,urb,1
MKD,Zone_5A Cool Humid,rur,1
MLI,Zone_0A Extremely hot Humid,urb,0.4727889544838
MLI,Zone_0A Extremely hot Humid,rur,0.344231958677076
MLI,Zone_0B Extremely hot Dry,urb,0.5272110455162
MLI,Zone_0B Extremely hot Dry,rur,0.655768041322924
MLT,Zone_3A Warm Humid,urb,1
MLT,Zone_3A Warm Humid,rur,1
MMR,Zone_0A Extremely hot Humid,urb,0.75880902764753
MMR,Zone_0A Extremely hot Humid,rur,0.391515353724438
MMR,Zone_0B Extremely hot Dry,urb,0.074245752043265
MMR,Zone_0B Extremely hot Dry,rur,0.0436332996314558
MMR,Zone_1A Very hot Humid,urb,0.155205762575332
MMR,Zone_1A Very hot Humid,rur,0.358791994993361
MMR,Zone_2A Hot Humid,urb,0.0117394577338726
MMR,Zone_2A Hot Humid,rur,0.206059351650745
MNE,Zone_5A Cool Humid,urb,1
MNE,Zone_5A Cool Humid,rur,1
MNG,Zone_8A Subarctic/arctic Humid,urb,1
MNG,Zone_8A Subarctic/arctic Humid,rur,1
MOZ,Zone_1A Very hot Humid,urb,0.417557268399243
MOZ,Zone_1A Very hot Humid,rur,0.604987022481833
MOZ,Zone_2A Hot Humid,urb,0.582442731600757
MOZ,Zone_2A Hot Humid,rur,0.395012977518167
MRT,Zone_0B Extremely hot Dry,urb,1
MRT,Zone_0B Extremely hot Dry,rur,1
MUS,Zone_2A Hot Humid,urb,1
MUS,Zone_2A Hot Humid,rur,1
MWI,Zone_1A Very hot Humid,urb,0.162005500520937
MWI,Zone_1A Very hot Humid,rur,0.17844437738566
MWI,Zone_2A Hot Humid,urb,0.837994499479063
MWI,Zone_2A Hot Humid,rur,0.82155562261434
MYS,Zone_0A Extremely hot Humid,urb,0.557535698473005
MYS,Zone_0A Extremely hot Humid,rur,0.464062276200644
MYS,Zone_1A Very hot Humid,urb,0.442464301526995
MYS,Zone_1A Very hot Humid,rur,0.535937723799356
NAM,Zone_2B Hot Dry,urb,1
NAM,Zone_2B Hot Dry,rur,1
NER,Zone_0B Extremely hot Dry,urb,1
NER,Zone_0B Extremely hot Dry,rur,1
NGA,Zone_0A Extremely hot Humid,urb,0.757847739650562
NGA,Zone_0A Extremely hot Humid,rur,0.591160285113025
NGA,Zone_0B Extremely hot Dry,urb,0.112699840201767
NGA,Zone_0B Extremely hot Dry,rur,0.23677376580498
NGA,Zone_1A Very hot Humid,urb,0.129452420147671
NGA,Zone_1A Very hot Humid,rur,0.172065949081995
NIC,Zone_0A Extremely hot Humid,urb,0.64572984337712
NIC,Zone_0A Extremely hot Humid,rur,0.40221227231098
NIC,Zone_1A Very hot Humid,urb,0.35427015662288
NIC,Zone_1A Very hot Humid,rur,0.59778772768902
NLD,Zone_4A Mixed Humid,urb,0.880220526624323
NLD,Zone_4A Mixed Humid,rur,0.440225952100713
NLD,Zone_5A Cool Humid,urb,0.119779473375677
NLD,Zone_5A Cool Humid,rur,0.559774047899287
